[?1034hType                                  Module                      Label             Process   
vector<double>                        "ak8GenJets"                "sigmas"          "HLT"     
vector<double>                        "ak8GenJetsNoNu"            "sigmas"          "HLT"     
vector<int>                           "genParticles"              ""                "HLT"     
vector<l1extra::L1EmParticle>         "l1extraParticles"          "Isolated"        "HLT"     
vector<l1extra::L1EmParticle>         "l1extraParticles"          "NonIsolated"     "HLT"     
vector<l1extra::L1EtMissParticle>     "l1extraParticles"          "MET"             "HLT"     
vector<l1extra::L1EtMissParticle>     "l1extraParticles"          "MHT"             "HLT"     
vector<l1extra::L1HFRings>            "l1extraParticles"          ""                "HLT"     
vector<l1extra::L1JetParticle>        "l1extraParticles"          "Central"         "HLT"     
vector<l1extra::L1JetParticle>        "l1extraParticles"          "Forward"         "HLT"     
vector<l1extra::L1JetParticle>        "l1extraParticles"          "IsoTau"          "HLT"     
vector<l1extra::L1JetParticle>        "l1extraParticles"          "Tau"             "HLT"     
vector<l1extra::L1MuonParticle>       "l1extraParticles"          ""                "HLT"     
vector<reco::GenJet>                  "ak4GenJets"                ""                "HLT"     
vector<reco::GenJet>                  "ak4GenJetsNoNu"            ""                "HLT"     
vector<reco::GenJet>                  "ak8GenJets"                ""                "HLT"     
vector<reco::GenJet>                  "ak8GenJetsNoNu"            ""                "HLT"     
vector<reco::GenMET>                  "genMetCalo"                ""                "HLT"     
vector<reco::GenMET>                  "genMetTrue"                ""                "HLT"     
vector<reco::GenParticle>             "genParticles"              ""                "HLT"     
trigger::TriggerEvent                 "hltTriggerSummaryAOD"      ""                "HLT"     
ClusterSummary                        "clusterSummaryProducer"    ""                "RECO"    
EBDigiCollection                      "selectDigi"                "selectedEcalEBDigiCollection"   "RECO"    
EEDigiCollection                      "selectDigi"                "selectedEcalEEDigiCollection"   "RECO"    
EcalTrigPrimCompactColl               "ecalCompactTrigPrim"       ""                "RECO"    
HcalNoiseSummary                      "hcalnoise"                 ""                "RECO"    
HcalUnpackerReport                    "castorDigis"               ""                "RECO"    
HcalUnpackerReport                    "hcalDigis"                 ""                "RECO"    
L1GlobalTriggerObjectMaps             "l1L1GtObjectMap"           ""                "RECO"    
L1GlobalTriggerReadoutRecord          "gtDigis"                   ""                "RECO"    
L1MuGMTReadoutCollection              "gtDigis"                   ""                "RECO"    
double                                "fixedGridRhoAll"           ""                "RECO"    
double                                "fixedGridRhoFastjetAll"    ""                "RECO"    
double                                "fixedGridRhoFastjetAllCalo"   ""                "RECO"    
double                                "fixedGridRhoFastjetCentralCalo"   ""                "RECO"    
double                                "fixedGridRhoFastjetCentralChargedPileUp"   ""                "RECO"    
double                                "fixedGridRhoFastjetCentralNeutral"   ""                "RECO"    
double                                "ak4CaloJets"               "rho"             "RECO"    
double                                "ak4PFJets"                 "rho"             "RECO"    
double                                "ak4PFJetsCHS"              "rho"             "RECO"    
double                                "ak4TrackJets"              "rho"             "RECO"    
double                                "ak5CastorJets"             "rho"             "RECO"    
double                                "ak7CastorJets"             "rho"             "RECO"    
double                                "ak8PFJetsCHS"              "rho"             "RECO"    
double                                "ak8PFJetsCHSSoftDrop"      "rho"             "RECO"    
double                                "cmsTopTagPFJetsCHS"        "rho"             "RECO"    
double                                "ak4CaloJets"               "sigma"           "RECO"    
double                                "ak4PFJets"                 "sigma"           "RECO"    
double                                "ak4PFJetsCHS"              "sigma"           "RECO"    
double                                "ak4TrackJets"              "sigma"           "RECO"    
double                                "ak5CastorJets"             "sigma"           "RECO"    
double                                "ak7CastorJets"             "sigma"           "RECO"    
double                                "ak8PFJetsCHS"              "sigma"           "RECO"    
double                                "ak8PFJetsCHSSoftDrop"      "sigma"           "RECO"    
double                                "cmsTopTagPFJetsCHS"        "sigma"           "RECO"    
edm::Association<vector<reco::DeDxHitInfo> >    "dedxHitInfo"               ""                "RECO"    
edm::Association<vector<reco::Vertex> >    "offlinePrimaryVertices"    ""                "RECO"    
edm::Association<vector<reco::Vertex> >    "offlinePrimaryVerticesWithBS"   ""                "RECO"    
edm::AssociationMap<edm::OneToOne<vector<reco::SuperCluster>,vector<reco::HFEMClusterShape>,unsigned int> >    "hfEMClusters"              ""                "RECO"    
edm::AssociationMap<edm::OneToOne<vector<reco::Track>,vector<reco::Track>,unsigned int> >    "tevMuons"                  "default"         "RECO"    
edm::AssociationMap<edm::OneToOne<vector<reco::Track>,vector<reco::Track>,unsigned int> >    "tevMuons"                  "dyt"             "RECO"    
edm::AssociationMap<edm::OneToOne<vector<reco::Track>,vector<reco::Track>,unsigned int> >    "tevMuons"                  "firstHit"        "RECO"    
edm::AssociationMap<edm::OneToOne<vector<reco::Track>,vector<reco::Track>,unsigned int> >    "tevMuons"                  "picky"           "RECO"    
edm::AssociationVector<edm::RefProd<vector<reco::PFTau> >,vector<edm::Ref<vector<reco::PFTauTransverseImpactParameter>,reco::PFTauTransverseImpactParameter,edm::refhelper::FindUsingAdvance<vector<reco::PFTauTransverseImpactParameter>,reco::PFTauTransverseImpactParameter> > >,edm::Ref<vector<reco::PFTau>,reco::PFTau,edm::refhelper::FindUsingAdvance<vector<reco::PFTau>,reco::PFTau> >,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "hpsPFTauTransverseImpactParameters"   ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<edm::RefVector<vector<reco::Track>,reco::Track,edm::refhelper::FindUsingAdvance<vector<reco::Track>,reco::Track> > >,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "ak4JetTracksAssociatorAtCaloFace"   ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<edm::RefVector<vector<reco::Track>,reco::Track,edm::refhelper::FindUsingAdvance<vector<reco::Track>,reco::Track> > >,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "ak4JetTracksAssociatorAtVertex"   ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<edm::RefVector<vector<reco::Track>,reco::Track,edm::refhelper::FindUsingAdvance<vector<reco::Track>,reco::Track> > >,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "ak4JetTracksAssociatorAtVertexPF"   ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<edm::RefVector<vector<reco::Track>,reco::Track,edm::refhelper::FindUsingAdvance<vector<reco::Track>,reco::Track> > >,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "ak4JetTracksAssociatorExplicit"   ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "combinedInclusiveSecondaryVertexV2BJetTags"   ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "combinedMVABJetTags"       ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "combinedSecondaryVertexBJetTags"   ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "ghostTrackBJetTags"        ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "jetBProbabilityBJetTags"   ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "jetProbabilityBJetTags"    ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "pfCombinedInclusiveSecondaryVertexV2BJetTags"   ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "pfCombinedMVABJetTags"     ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "pfCombinedSecondaryVertexBJetTags"   ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "pfCombinedSecondaryVertexSoftLeptonBJetTags"   ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "pfCombinedSecondaryVertexV2BJetTags"   ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "pfJetBProbabilityBJetTags"   ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "pfJetProbabilityBJetTags"   ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "pfSimpleSecondaryVertexHighEffBJetTags"   ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "pfSimpleSecondaryVertexHighPurBJetTags"   ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "pfTrackCountingHighEffBJetTags"   ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "pfTrackCountingHighPurBJetTags"   ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "simpleSecondaryVertexHighEffBJetTags"   ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "simpleSecondaryVertexHighPurBJetTags"   ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "softPFElectronBJetTags"    ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "softPFMuonBJetTags"        ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "trackCountingHighEffBJetTags"   ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "trackCountingHighPurBJetTags"   ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<reco::JetExtendedAssociation::JetExtendedData>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "ak4JetExtender"            ""                "RECO"    
edm::ConditionsInEventBlock           "conditionsInEdm"           ""                "RECO"    
edm::EDCollection<DetId>              "siPixelDigis"              ""                "RECO"    
edm::EDCollection<DetId>              "siStripDigis"              ""                "RECO"    
edm::EDCollection<DetId>              "siPixelDigis"              "UserErrorModules"   "RECO"    
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "ckfInOutTracksFromConversions"   ""                "RECO"    
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "ckfOutInTracksFromConversions"   ""                "RECO"    
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "conversionStepTracks"      ""                "RECO"    
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "cosmicMuons"               ""                "RECO"    
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "cosmicMuons1Leg"           ""                "RECO"    
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "displacedGlobalMuons"      ""                "RECO"    
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "displacedStandAloneMuons"   ""                "RECO"    
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "electronGsfTracks"         ""                "RECO"    
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "generalTracks"             ""                "RECO"    
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "globalMuons"               ""                "RECO"    
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "globalSETMuons"            ""                "RECO"    
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "refittedStandAloneMuons"   ""                "RECO"    
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "standAloneMuons"           ""                "RECO"    
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "standAloneSETMuons"        ""                "RECO"    
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "uncleanedOnlyCkfInOutTracksFromConversions"   ""                "RECO"    
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "uncleanedOnlyCkfOutInTracksFromConversions"   ""                "RECO"    
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "tevMuons"                  "default"         "RECO"    
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "tevMuons"                  "dyt"             "RECO"    
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "tevMuons"                  "firstHit"        "RECO"    
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "tevMuons"                  "picky"           "RECO"    
edm::RangeMap<CSCDetId,edm::OwnVector<CSCRecHit2D,edm::ClonePolicy<CSCRecHit2D> >,edm::ClonePolicy<CSCRecHit2D> >    "csc2DRecHits"              ""                "RECO"    
edm::RangeMap<CSCDetId,edm::OwnVector<CSCSegment,edm::ClonePolicy<CSCSegment> >,edm::ClonePolicy<CSCSegment> >    "cscSegments"               ""                "RECO"    
edm::RangeMap<DTChamberId,edm::OwnVector<DTRecSegment4D,edm::ClonePolicy<DTRecSegment4D> >,edm::ClonePolicy<DTRecSegment4D> >    "dt4DCosmicSegments"        ""                "RECO"    
edm::RangeMap<DTChamberId,edm::OwnVector<DTRecSegment4D,edm::ClonePolicy<DTRecSegment4D> >,edm::ClonePolicy<DTRecSegment4D> >    "dt4DSegments"              ""                "RECO"    
edm::RangeMap<DTLayerId,edm::OwnVector<DTRecHit1DPair,edm::ClonePolicy<DTRecHit1DPair> >,edm::ClonePolicy<DTRecHit1DPair> >    "dt1DCosmicRecHits"         ""                "RECO"    
edm::RangeMap<DTLayerId,edm::OwnVector<DTRecHit1DPair,edm::ClonePolicy<DTRecHit1DPair> >,edm::ClonePolicy<DTRecHit1DPair> >    "dt1DRecHits"               ""                "RECO"    
edm::RangeMap<RPCDetId,edm::OwnVector<RPCRecHit,edm::ClonePolicy<RPCRecHit> >,edm::ClonePolicy<RPCRecHit> >    "rpcRecHits"                ""                "RECO"    
edm::SortedCollection<CaloTower,edm::StrictWeakOrdering<CaloTower> >    "towerMaker"                ""                "RECO"    
edm::SortedCollection<CastorRecHit,edm::StrictWeakOrdering<CastorRecHit> >    "castorreco"                ""                "RECO"    
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "reducedEcalRecHitsEB"      ""                "RECO"    
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "reducedEcalRecHitsEE"      ""                "RECO"    
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "reducedEcalRecHitsES"      ""                "RECO"    
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "ecalRecHit"                "EcalRecHitsEB"   "RECO"    
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "ecalRecHit"                "EcalRecHitsEE"   "RECO"    
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "ecalPreshowerRecHit"       "EcalRecHitsES"   "RECO"    
edm::SortedCollection<EcalTriggerPrimitiveDigi,edm::StrictWeakOrdering<EcalTriggerPrimitiveDigi> >    "ecalTPSkim"                ""                "RECO"    
edm::SortedCollection<HBHERecHit,edm::StrictWeakOrdering<HBHERecHit> >    "hbheprereco"               ""                "RECO"    
edm::SortedCollection<HBHERecHit,edm::StrictWeakOrdering<HBHERecHit> >    "hbhereco"                  ""                "RECO"    
edm::SortedCollection<HBHERecHit,edm::StrictWeakOrdering<HBHERecHit> >    "reducedHcalRecHits"        "hbhereco"        "RECO"    
edm::SortedCollection<HFRecHit,edm::StrictWeakOrdering<HFRecHit> >    "hfreco"                    ""                "RECO"    
edm::SortedCollection<HFRecHit,edm::StrictWeakOrdering<HFRecHit> >    "reducedHcalRecHits"        "hfreco"          "RECO"    
edm::SortedCollection<HORecHit,edm::StrictWeakOrdering<HORecHit> >    "horeco"                    ""                "RECO"    
edm::SortedCollection<HORecHit,edm::StrictWeakOrdering<HORecHit> >    "reducedHcalRecHits"        "horeco"          "RECO"    
edm::SortedCollection<ZDCDataFrame,edm::StrictWeakOrdering<ZDCDataFrame> >    "castorDigis"               ""                "RECO"    
edm::SortedCollection<ZDCDataFrame,edm::StrictWeakOrdering<ZDCDataFrame> >    "hcalDigis"                 ""                "RECO"    
edm::SortedCollection<ZDCRecHit,edm::StrictWeakOrdering<ZDCRecHit> >    "zdcreco"                   ""                "RECO"    
edm::TriggerResults                   "TriggerResults"            ""                "RECO"    
edm::ValueMap<bool>                   "PhotonIDProd"              "PhotonCutBasedIDLoose"   "RECO"    
edm::ValueMap<bool>                   "PhotonIDProdGED"           "PhotonCutBasedIDLoose"   "RECO"    
edm::ValueMap<bool>                   "PhotonIDProd"              "PhotonCutBasedIDLooseEM"   "RECO"    
edm::ValueMap<bool>                   "PhotonIDProdGED"           "PhotonCutBasedIDLooseEM"   "RECO"    
edm::ValueMap<bool>                   "PhotonIDProd"              "PhotonCutBasedIDTight"   "RECO"    
edm::ValueMap<bool>                   "PhotonIDProdGED"           "PhotonCutBasedIDTight"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidAllArbitrated"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidGMStaChiCompatibility"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidGMTkChiCompatibility"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidGMTkKinkTight"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidGlobalMuonPromptTight"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidRPCMuLoose"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTM2DCompatibilityLoose"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTM2DCompatibilityTight"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationAngLoose"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationAngTight"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationLoose"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationOptimizedLowPtLoose"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationOptimizedLowPtTight"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationTight"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTMOneStationAngLoose"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTMOneStationAngTight"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTMOneStationLoose"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTMOneStationTight"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTrackerMuonArbitrated"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueCharged03"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueCharged04"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueChargedAll03"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueChargedAll04"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueGamma03"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueGamma04"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueGammaHighThreshold03"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueGammaHighThreshold04"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueNeutral03"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueNeutral04"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueNeutralHighThreshold03"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueNeutralHighThreshold04"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValuePU03"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValuePU04"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueCharged03"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueCharged04"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueChargedAll03"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueChargedAll04"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueGamma03"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueGamma04"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueGammaHighThreshold03"   "RECO"    
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueGammaHighThreshold04"   "RECO"    
